title,author,date,type,url,description,category,tags,notes
LAX Case_Study on Vimeo,,150913,Link,https://vimeo.com/91545848,,physical design,"interface,physical design,architecture,display",,,,,,,,,
Where the Action Is,,145220,Link,http://www.dourish.com/embodied/,,design principles,"interface,hardware,tangible computing,embodied interaction,design principles",,,,,,,,,
How Bodies Matter: Five Themes for Interaction Design ,,145220,Link,https://hci.stanford.edu/publications/2006/HowBodiesMatter-DIS2006.pdf,,design principles,"embodied interaction,design principles,hardware",,,,,,,,,
Common User Feedback Mistakes,,147657,Link,http://www.tintup.com/blog/common-user-feedback-mistakes/,,design principles,"design principles,user feedback,interface",,,,,,,,,
"Jamboard — the whiteboard, reimagined for collaboration in the cloud",,147762,Link,https://blog.google/products/g-suite/jamboard-whiteboard-reimagined-collaboration-cloud/,,hardware,"interface,display,hardware",,,,,,,,,
HDA - Climate Ribbon | Brickell City Center,,147941,Link,http://www.hda-paris.com/bcc/,,software,"software,simulation,computational design,architecture",,,,,,,,,
Pupil Labs,,148129,Link,https://pupil-labs.com/,,hardware,"hardware,eye-tracking",,,,,,,,,
"Round Thermostats and Crystal Lanterns, Revisited: Design Observer",,149030,Link,http://designobserver.com/feature/round-thermostats-and-crystal-lanterns-revisited/32678,,hardware,"interface,thermostats,hardware",,,,,,,,,
Ceiling tile that wirelessly charges devices unveiled at CES 2017 | News | Archinect,,148770,Link,http://archinect.com/news/article/149984970/ceiling-tile-that-wirelessly-charges-devices-unveiled-at-ces-2017,,hardware,"hardware,charger,ceiling tile,interface",,,,,,,,,
Design as Participation,,145807,Link,http://jods.mitpress.mit.edu/pub/design-as-participation,,design principles,"design principles,participation,occupant initiative",,,,,,,,,
Postscapes | Navigate your Connected World,,149652,Link,https://www.postscapes.com/,,design principles,"design principles,interface,hardware,software",,,,,,,,,
Robotic Facade Changing Places Group - YouTube,,149464,Link,https://www.youtube.com/watch?v=gGD5yHGQx90,,interface,"physical design,interface,software,hardware,responsive,smartphone",,,,,,,,,
Architecture - LifeEdited,,149489,Link,http://lifeedited.com/category/architecture/,,physical design,"hardware,flexible,smart home,physical design",,,,,,,,,
This tiny modular home adapts to your moods - YouTube,,150485,Link,https://m.youtube.com/watch?v=Vjbqe7agCz0,,interface,"flexible design,interface,adaptive,responsive,smart home,physical design",,,,,,,,,
Yondr,,150362,Link,http://overyondr.com/,,occupant initiative,"occupant initiative,hardware",,,,,,,,,
Vijay Chakravarthy | Washmaid,,149850,Link,http://www.vijayc.com/portfolio/washmaid/,,hardware,"hardware,smart home",,,,,,,,,
Young Architect Guide: What Is Behavior Modeling in Architecture? - Architizer Journal,,154698,Link,https://architizer.com/blog/practice/tools/embracing-data-driven-design-with-behavior-modeling-2/,,software,"occupant behavior,simulattion,computational design,software,architecture",,,,,,,,,
(14) How have UX design principles influenced the field of urban planning? - Quora,,149468,Link,https://www.quora.com/How-have-UX-design-principles-influenced-the-field-of-urban-planning,,design principles,"design principles,urban planning,UX",,,,,,,,,
Tangible Interaction » Interaction Design Foundation,,145220,Link,https://www.interaction-design.org/literature/book/the-glossary-of-human-computer-interaction/tangible-interaction,,design principles,"HCI,tangible computing,design principles",,,,,,,,,
Intelligent building systems: The IoT in the CRE industry | Deloitte University Press,,150238,Link,https://dupress.deloitte.com/dup-us-en/focus/internet-of-things/iot-commercial-real-estate-intelligent-building-systems.html#endnote-4,,design principles,"real estate,design principles,IoT",,,,,,,,,
Light Frieze - New Building of the Kunstmuseum Basel on Vimeo,,150913,Link,https://vimeo.com/162792862,,physical design,"architecture,display,dynamic,LED,lighting,physical design",,,,,,,,,
Jacques Cartier Bridge Interactive Illumination - YouTube,,150913,Link,https://www.youtube.com/watch?v=XaNNAVPGS4Q,,physical design,"bridge,light,dynamic,display,physical design",,,,,,,,,
Digital Tools for Design Research | IDEO Labs,,151086,Link,https://labs.ideo.com/2014/09/19/digital-tools-for-design-research/,,design principles,"user feedback,research,software, design principles",,,,,,,,,
eTextile NIME - YouTube,,152866,Link,https://www.youtube.com/watch?v=z92_jkQb5EM,,hardware,"hardware,embodied interaction,tangible computing",,,,,,,,,
"ECUAD: Health Design Lab — Providence Health Care: IlluminAID, Lighting for Fall Prevention",,153054,Link,http://research.ecuad.ca/healthdesignlab/projects/providence-health-care-illuminaid-lighting-for-fall-prevention/,,hardware,"lighting,health,human-centered design,hardware",,,,,,,,,
Internet of Shit,,152866,Link,https://internetofshit.net/,"Putting your shit on line, even if you don't want it. ",design principles,"IoT,design principles,hardware",,,,,,,,,
Overview ‹ Mediated Atmosphere — MIT Media Lab,,153715,Link,https://www.media.mit.edu/projects/mediated-atmospheres/overview/,,interface,"hardware,display,dynamic,interface,sensors,lighting",,,,,,,,,
Home —,,153983,Link,https://www.speakdotdot.com/dotdot/,,software,"IoT,software,communication protocol,specification",,,,,,,,,
Emacula | Enhanced Retina Technologies™,,154093,Link,http://www.emacula.io/,,hardware,"augmented reality,contact lenses,hardware",,,,,,,,,
Wink | About us,,153360,Link,https://www.wink.com/about/,Wink connects your favorite smart home brands and lets them do even more together. It’s amazing. ,interface,"software,interface,communication protocol,smartphone",,,,,,,,,
"If you can't find the entrance, there's a problem with the architecture.: Design Observer",,149030,Link,http://designobserver.com/feature/architecture-without-signs/37837,,design principles,"design principles,signs,usability,UX",,,,,,,,,
Kasita • One Size. Fits All.,,148921,Link,https://kasita.com/,,interface,"adaptive,flexible design,interface,responsive,smart home",,,,,,,,,
Thermal Comfort Surveys,,148476,Link,http://www.healthyheating.com/Thermal-Comfort-Survey/Thermal-comfort-survey.htm#.WH_JpBsrKUk,,occupant initiative,"design principles,user feedback,thermal comfort, occupant initiative",,,,,,,,,
LMN Office Renovation 2: Occupancy Comfort | LMNts,,145255,Link,https://lmnarchitects.com/tech-studio/fabrication/lmn-office-renovation-2-occupancy-comfort/,,hardware,"hardware,thermal comfort,sensors,arduino",,,,,,,,,
Red Hot BIM: IoT,,145255,Link,http://www.redhotbim.com/search/label/IoT,,hardware,"hardware,arduino,thermal comfort,sensors",,,,,,,,,
